CIF,Account Name,Region,Product Type,End Balance,Days_Since_Last_Txn,CLV_Predicted,Churn_Probability
CIF01003020,Customer_3021,Sidama,Ahadu Bereket Saving Account,8077297.2,3499,3759159.0,0.9999999190337522
CIF01004715,Customer_4716,Amhara,Ordinary Saving Account,3895004.26,2425,1843526.4,0.9999999705361919
CIF01006044,Customer_6045,SNNPR,Ahadu Bereket Saving Account,3083777.29,3266,1396725.0,0.9999999761235813
CIF01005585,Customer_5586,Amhara,Hiruyan Saving Account,2529295.43,2967,1186617.8,0.9999999308966349
CIF01003184,Customer_3185,Benishangul-Gumuz,Special Saving Account,898960.58,4272,1175688.6,0.9999999477893179
CIF01002525,Customer_2526,Benishangul-Gumuz,Ahadu Bereket Saving Account,1704054.59,1882,1104353.9,0.9999998751881387
CIF01003936,Customer_3937,Amhara,Blatena Saving Account,2085947.87,3033,1070963.8,0.9999999367934329
CIF01000157,Customer_158,Sidama,Ordinary Saving Account,1516955.0,2208,1067553.1,0.9999999548436396
CIF01009796,Customer_9797,Addis Ababa,Ordinary Saving Account,2053359.58,772,1062289.2,0.9999999468200914
CIF01004311,Customer_4312,Amhara,Special Saving Account,1716919.17,2244,998891.06,0.9999998768225774
CIF01009652,Customer_9653,Addis Ababa,Ahati Saving Account,1679849.27,773,978861.06,0.9999998679877643
CIF01005153,Customer_5154,Amhara,Ordinary Saving Account,2060922.93,1406,938945.94,0.9999999749596153
CIF01009013,Customer_9014,Tigray,Hiruyan Saving Account,2053204.0,1891,905206.3,0.9999998614183906
CIF01005503,Customer_5504,SNNPR,Ahati Saving Account,1233051.04,532,892147.44,0.9999925899273934
CIF01007872,Customer_7873,Dire Dawa,Ordinary Saving Account,422507.12,3743,887071.75,0.9999999316856318
CIF01007713,Customer_7714,Addis Ababa,Sitota Saving Deposit,1237408.31,1698,858000.3,0.9999998683354896
CIF01008885,Customer_8886,Addis Ababa,Ordinary Saving Account,1643016.61,624,833275.5,0.9999998601556963
CIF01000490,Customer_491,Addis Ababa,Ordinary Saving Account,1847425.57,4646,829937.9,0.9999999326772245
CIF01000632,Customer_633,Oromia,Prime Customer Deposit Account,1784435.12,1517,817011.25,0.9999999755083478
CIF01005182,Customer_5183,Addis Ababa,Ordinary Saving Account,1684862.0,2842,810281.6,0.9999999719451146
CIF01009436,Customer_9437,Addis Ababa,Blatena Saving Account,1466746.97,1181,778986.75,0.9999998347464989
CIF01009225,Customer_9226,Oromia,Prime Customer Deposit Account,1661661.24,598,772484.2,0.9999969128158858
CIF01006468,Customer_6469,Addis Ababa,Agape Saving Account,1575838.48,833,735337.8,0.9999998131443597
CIF01002580,Customer_2581,Amhara,Abew Saving Account,1106966.39,1915,702730.75,0.9999997607121229
CIF01005174,Customer_5175,Amhara,Hiruyan Saving Account,1137035.72,405,658938.4,0.9999992814499185
CIF01009156,Customer_9157,Tigray,Agape Saving Account,1238095.13,1213,625910.25,0.9999999380496866
CIF01004556,Customer_4557,Oromia,Ahati Saving Account,1285521.72,1579,624272.44,0.999999616404123
CIF01007655,Customer_7656,Oromia,Ordinary Saving Account,1166928.22,2151,593565.44,0.9999999839736431
CIF01003844,Customer_3845,Addis Ababa,Ordinary Saving Account,1154054.74,2193,582042.6,0.999999989657082
CIF01001303,Customer_1304,Dire Dawa,Abew Saving Account,1194604.03,1222,578919.8,0.9999998419812691
CIF01001467,Customer_1468,Gambela,Prime Customer Deposit Account,1198834.78,4534,570533.9,0.9999999677186656
CIF01002456,Customer_2457,Addis Ababa,Special Saving Account,1156319.94,1379,556289.1,0.9999999671857327
CIF01005945,Customer_5946,Oromia,Special Saving Account,960038.96,568,522912.97,0.9999990049761163
CIF01004335,Customer_4336,Addis Ababa,Ordinary Saving Account,1070113.7,1630,522652.25,0.9999997193327876
CIF01005504,Customer_5505,Tigray,Special Saving Account,1068203.88,2662,514049.66,0.9999999228015375
CIF01002448,Customer_2449,Oromia,Special Saving Account,1113431.76,1069,509996.4,0.999999923149803
CIF01004123,Customer_4124,Addis Ababa,Special Saving Account,868420.8,924,498913.22,0.9999999376752086
CIF01007809,Customer_7810,Oromia,Asrat Bekurat Saving Account,1096153.83,4553,489997.78,0.999999960178352
CIF01000712,Customer_713,Addis Ababa,Werazut Saving Account,1030747.08,710,486142.28,0.9999962541994624
CIF01007182,Customer_7183,Amhara,Blatena Saving Account,850175.31,1018,475486.62,0.9999999334600593
CIF01004525,Customer_4526,Oromia,Ahati Saving Account,1012356.0,1191,459488.4,0.9999995293014239
CIF01009321,Customer_9322,Somali,Hiruyan Saving Account,929177.02,515,459167.38,0.9999941358465898
CIF01002601,Customer_2602,Oromia,Sitota Saving Deposit,711956.78,617,457940.44,0.9999993738346467
CIF01005816,Customer_5817,Amhara,Blatena Saving Account,1053002.14,384,453512.22,0.9999765685651145
CIF01005061,Customer_5062,Addis Ababa,Ordinary Saving Account,898266.86,680,451093.4,0.9999993742681595
CIF01007012,Customer_7013,Addis Ababa,Dekemezmur Saving Account,945457.27,531,444037.66,0.9999899438996513
CIF01003761,Customer_3762,Addis Ababa,Tirufat Savings Account,933053.67,1295,437264.16,0.9999998633347014
CIF01001775,Customer_1776,Dire Dawa,Prime Customer Deposit Account,882428.81,1923,433009.7,0.9999999785018969
CIF01006051,Customer_6052,Amhara,Couples Saving Deposit,805201.72,859,430955.16,0.9999997043713341
CIF01001340,Customer_1341,Oromia,Hiruyan Saving Account,707672.39,930,426125.97,0.9999998462485681
CIF01007725,Customer_7726,SNNPR,Ordinary Saving Account,844457.34,479,422079.97,0.9999996324615271
CIF01003958,Customer_3959,Addis Ababa,Hiruyan Saving Account,755736.58,774,421591.66,0.9999996940698638
CIF01002730,Customer_2731,Addis Ababa,Ordinary Saving Account,783973.68,1930,416922.53,0.9999998434707017
CIF01001683,Customer_1684,Tigray,Ahati Saving Account,735336.39,1519,416451.6,0.9999999830785001
CIF01003875,Customer_3876,Amhara,Werazut Saving Account,700205.63,372,411081.25,0.9999995386460293
CIF01008029,Customer_8030,Addis Ababa,Werazut Saving Account,741981.78,1477,406480.4,0.9999999698617039
CIF01002665,Customer_2666,Oromia,Tirufat Savings Account,785836.58,369,401916.5,0.999996893088472
CIF01000110,Customer_111,Addis Ababa,Ahati Saving Account,709416.89,4330,398144.84,0.9999999425033124
CIF01006665,Customer_6666,Tigray,Ordinary Saving Account,745266.47,2285,397694.78,0.999999975052515
CIF01008020,Customer_8021,Addis Ababa,Dekemezmur Saving Account,700459.59,713,394252.97,0.9999908443827368
CIF01000474,Customer_475,Dire Dawa,Hiruyan Saving Account,1006799.91,1534,388025.9,0.9999999567733205
CIF01007835,Customer_7836,Oromia,Blatena Saving Account,813352.09,1364,387353.06,0.9999997617483453
CIF01001402,Customer_1403,Addis Ababa,Ahadu Bereket Saving Account,974319.05,3069,384164.4,0.999999960796085
CIF01006433,Customer_6434,Oromia,Werazut Saving Account,669300.44,1351,381982.5,0.9999999189683301
CIF01006884,Customer_6885,Addis Ababa,Special Saving Account,699211.75,1440,377990.7,0.9999999259235232
CIF01000533,Customer_534,Sidama,Abew Saving Account,632098.57,1046,377818.9,0.9999999212884669
CIF01004013,Customer_4014,Oromia,Dekemezmur Saving Account,789918.28,2636,372093.78,0.9999999211700066
CIF01006085,Customer_6086,Addis Ababa,Tirufat Savings Account,728271.8,3340,368334.25,0.9999999059330595
CIF01008218,Customer_8219,Addis Ababa,Ordinary Saving Account,704956.63,1193,365950.5,0.9999995906830145
CIF01001345,Customer_1346,Dire Dawa,Ordinary Saving Account,703873.89,370,363864.0,0.9999959524154051
CIF01007171,Customer_7172,Afar,Ordinary Saving Account,611589.47,559,363756.6,0.9999986151206518
CIF01002945,Customer_2946,Oromia,Special Saving Account,611500.87,2596,363359.56,0.9999999726072603
CIF01009353,Customer_9354,Harari,Blatena Saving Account,732058.95,3853,362499.44,0.9999999234395728
CIF01009392,Customer_9393,Addis Ababa,Ahati Saving Account,698289.9,683,362403.6,0.9999996337875658
CIF01008366,Customer_8367,Addis Ababa,Werazut Saving Account,730225.54,2728,362192.78,0.9999998899435972
CIF01000404,Customer_405,Afar,Ordinary Saving Account,534098.42,2436,361241.1,0.9999999361801851
CIF01008341,Customer_8342,Dire Dawa,Ordinary Saving Account,650683.22,2162,359175.75,0.9999999181810637
CIF01000823,Customer_824,Oromia,Ordinary Saving Account,613647.91,644,357518.44,0.9999999261210252
CIF01006066,Customer_6067,Addis Ababa,Ordinary Saving Account,718520.09,3512,353721.88,0.9999999821319946
CIF01003471,Customer_3472,SNNPR,Tirufat Savings Account,632313.27,3142,350023.8,0.999999893072889
CIF01003830,Customer_3831,Oromia,Ordinary Saving Account,638430.77,1597,349825.4,0.9999999816962107
CIF01002388,Customer_2389,SNNPR,Ordinary Saving Account,637886.9,594,344694.22,0.9999995966633058
CIF01002998,Customer_2999,Addis Ababa,Special Saving Account,553976.19,403,343749.9,0.9999976625935948
CIF01002697,Customer_2698,Oromia,Sitota Saving Deposit,361463.82,405,343713.2,0.9999991213893288
CIF01006344,Customer_6345,Oromia,Ordinary Saving Account,681211.41,2007,341964.72,0.9999999700965185
CIF01001317,Customer_1318,Sidama,Abew Saving Account,637587.94,641,338697.22,0.999990919911679
CIF01008407,Customer_8408,Addis Ababa,Dekemezmur Saving Account,590691.17,370,338135.53,0.9999981129499103
CIF01007828,Customer_7829,Amhara,Ordinary Saving Account,607121.32,732,334984.62,0.9999987459126136
CIF01001577,Customer_1578,Amhara,Werazut Saving Account,686293.52,400,334410.1,0.9999970300313716
CIF01005744,Customer_5745,Amhara,Asrat Bekurat Saving Account,731306.17,2543,333402.47,0.9999998963934408
CIF01009671,Customer_9672,SNNPR,Special Saving Account,595858.2,600,331498.75,0.9999927318522188
CIF01008138,Customer_8139,Sidama,Couples Saving Deposit,671647.06,901,328544.94,0.9999999419954115
CIF01001072,Customer_1073,Addis Ababa,Werazut Saving Account,605038.19,573,327571.94,0.9999998468099843
CIF01003953,Customer_3954,Addis Ababa,Dekemezmur Saving Account,506087.31,3373,326814.8,0.9999999506052266
CIF01004499,Customer_4500,Sidama,Blatena Saving Account,634543.42,2406,325074.47,0.9999999808911185
CIF01007570,Customer_7571,Harari,Werazut Saving Account,685146.64,446,324395.53,0.9999991805503603
CIF01007220,Customer_7221,Oromia,Special Saving Account,708071.94,1065,322910.34,0.9999998444052667
CIF01009308,Customer_9309,Gambela,Special Saving Account,578630.39,497,322117.72,0.9999916431652962
CIF01007969,Customer_7970,Addis Ababa,Werazut Saving Account,614109.46,871,321540.94,0.999999853939828
CIF01003151,Customer_3152,Harari,Ordinary Saving Account,575593.93,731,320664.78,0.9999966251799898
CIF01000096,Customer_97,Afar,Ahadu Bereket Saving Account,663235.2,1461,320221.84,0.9999996458944062
CIF01000430,Customer_431,Amhara,Blatena Saving Account,579061.46,1961,317607.47,0.9999999793947589
CIF01001046,Customer_1047,Amhara,Ordinary Saving Account,398456.21,906,317387.4,0.9999998936687242
CIF01004190,Customer_4191,Benishangul-Gumuz,Special Saving Account,592502.39,1515,317357.22,0.9999997049160729
CIF01003986,Customer_3987,Sidama,Dekemezmur Saving Account,396195.98,441,315493.78,0.9999948086999495
CIF01007246,Customer_7247,Amhara,Special Saving Account,645941.93,2628,312035.9,0.9999999600764626
CIF01004032,Customer_4033,Addis Ababa,Ahati Saving Account,642219.23,3205,311044.9,0.9999999451137854
CIF01004572,Customer_4573,Sidama,Abew Saving Account,459953.75,1257,310716.1,0.999999896157931
CIF01003898,Customer_3899,Oromia,Prime Customer Deposit Account,726582.1,1179,307786.78,0.9999998425396491
CIF01003440,Customer_3441,Addis Ababa,Washera Saving Account,599220.02,3989,307408.9,0.9999999691857219
CIF01002354,Customer_2355,Addis Ababa,Prime Customer Deposit Account,661576.26,2555,306106.22,0.999999976888316
CIF01000565,Customer_566,Dire Dawa,Ahati Saving Account,489882.74,1171,304679.72,0.9999999509387758
CIF01002425,Customer_2426,Amhara,Hiruyan Saving Account,533044.35,1415,301253.0,0.9999999695444515
CIF01008938,Customer_8939,Addis Ababa,Asrat Bekurat Saving Account,573200.55,1371,296603.53,0.9999998079536427
CIF01007871,Customer_7872,Addis Ababa,Abew Saving Account,442596.71,2477,295093.7,0.9999999392435609
CIF01009623,Customer_9624,Amhara,Ordinary Saving Account,521373.01,401,294393.94,0.9999892902766763
