CIF,Account Name,Region,Age,Sex,CLV_Predicted,Lookalike_Score,Segment_Label
CIF01006866,Customer_6867,Dire Dawa,45,M,255672.88,0.9842018369502398,Champions
CIF01003627,Customer_3628,Afar,40,F,342124.47,0.9817206147653775,Champions
CIF01005580,Customer_5581,Addis Ababa,32,F,169892.97,0.9789923655168888,Champions
CIF01004935,Customer_4936,Amhara,30,M,447701.66,0.9789162697393008,Champions
CIF01002796,Customer_2797,Oromia,37,M,235009.38,0.9787359622845184,Champions
CIF01009249,Customer_9250,Benishangul-Gumuz,43,M,174729.33,0.9774342425204632,Champions
CIF01008579,Customer_8580,Afar,33,M,285521.6,0.9765496658468419,High-CLV Active
CIF01007114,Customer_7115,Addis Ababa,29,F,155023.39,0.9759469468321833,Champions
CIF01008011,Customer_8012,SNNPR,42,F,224262.17,0.9758469980531408,Champions
CIF01002504,Customer_2505,Tigray,46,F,231018.83,0.9744981943326267,Champions
CIF01005278,Customer_5279,SNNPR,45,M,196483.28,0.973715048368527,High-CLV Active
CIF01003242,Customer_3243,Addis Ababa,21,F,199891.83,0.9724815498707403,Mid-Value Growth
CIF01008885,Customer_8886,Addis Ababa,34,F,833275.5,0.9721070300157788,Champions
CIF01004243,Customer_4244,Amhara,45,M,290227.22,0.9709899493332446,Champions
CIF01001009,Customer_1010,Oromia,32,F,190529.58,0.9709483423440902,Champions
CIF01002942,Customer_2943,Dire Dawa,50,F,160140.92,0.9708402065787798,Champions
CIF01000410,Customer_411,Addis Ababa,33,M,207892.95,0.9707822762276731,High-CLV Active
CIF01008595,Customer_8596,Addis Ababa,33,M,147887.1,0.9707178133117145,High-CLV Active
CIF01007751,Customer_7752,Addis Ababa,40,M,283009.53,0.9700787863218413,High-CLV Active
CIF01002324,Customer_2325,Amhara,27,F,160657.61,0.9699359908019992,Champions
CIF01001916,Customer_1917,Addis Ababa,41,M,166163.6,0.9697886041625441,Champions
CIF01009112,Customer_9113,Dire Dawa,29,M,164667.17,0.969379995952593,Champions
CIF01008589,Customer_8590,Amhara,26,M,162624.19,0.9690342749734652,Champions
CIF01009470,Customer_9471,Oromia,29,M,178372.3,0.9689714755411757,High-CLV Active
CIF01007692,Customer_7693,Amhara,45,F,322047.88,0.9688146715320649,Champions
CIF01002388,Customer_2389,SNNPR,42,M,344694.22,0.968640683540721,Champions
CIF01008304,Customer_8305,Amhara,21,F,722489.25,0.9684599667830999,Champions
CIF01005182,Customer_5183,Addis Ababa,40,M,810281.6,0.968365184337182,Cross-Sell Ready
CIF01009582,Customer_9583,Oromia,34,M,171481.55,0.9679464571375568,High-CLV Active
CIF01000776,Customer_777,Oromia,41,F,192664.8,0.9679007030579353,Mid-Value Growth
CIF01006553,Customer_6554,Amhara,29,M,185862.12,0.9678799251916627,High-CLV Active
CIF01008814,Customer_8815,Oromia,39,M,132115.56,0.967685095958109,Champions
CIF01002487,Customer_2488,Dire Dawa,33,M,285618.22,0.9673005883150421,High-CLV Active
