CIF,Account_Name,Current_Product,Segment,CLV_Tier,Churn_Risk,NBP_Rank,Recommended_Product,Confidence_Score
CIF01000000,Customer_1,Ordinary Saving Account,High-CLV Active,Mid-CLV,Low Risk,1,Special Saving Account,0.09993
CIF01000000,Customer_1,Ordinary Saving Account,High-CLV Active,Mid-CLV,Low Risk,2,Blatena Saving Account,0.07828
CIF01000000,Customer_1,Ordinary Saving Account,High-CLV Active,Mid-CLV,Low Risk,3,Werazut Saving Account,0.06414
CIF01000001,Customer_2,Blatena Saving Account,Dormant Risk,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.23742
CIF01000001,Customer_2,Blatena Saving Account,Dormant Risk,Mid-CLV,Critical Risk,2,Special Saving Account,0.10101
CIF01000001,Customer_2,Blatena Saving Account,Dormant Risk,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.07289
CIF01000002,Customer_3,Ordinary Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,1,Special Saving Account,0.10274
CIF01000002,Customer_3,Ordinary Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07623
CIF01000002,Customer_3,Ordinary Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.0683
CIF01000003,Customer_4,Agape Saving Account,High-CLV Active,Low-CLV,Low Risk,1,Ordinary Saving Account,0.24526
CIF01000003,Customer_4,Agape Saving Account,High-CLV Active,Low-CLV,Low Risk,2,Special Saving Account,0.09715
CIF01000003,Customer_4,Agape Saving Account,High-CLV Active,Low-CLV,Low Risk,3,Blatena Saving Account,0.07607
CIF01000004,Customer_5,Blatena Saving Account,High-CLV Active,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24538
CIF01000004,Customer_5,Blatena Saving Account,High-CLV Active,High-CLV,Critical Risk,2,Special Saving Account,0.10243
CIF01000004,Customer_5,Blatena Saving Account,High-CLV Active,High-CLV,Critical Risk,3,Werazut Saving Account,0.06901
CIF01000005,Customer_6,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,1,Special Saving Account,0.10187
CIF01000005,Customer_6,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07669
CIF01000005,Customer_6,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06529
CIF01000006,Customer_7,Ordinary Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,1,Special Saving Account,0.10274
CIF01000006,Customer_7,Ordinary Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07623
CIF01000006,Customer_7,Ordinary Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.0683
CIF01000007,Customer_8,Special Saving Account,Mid-Value Growth,Low-CLV,Low Risk,1,Ordinary Saving Account,0.23833
CIF01000007,Customer_8,Special Saving Account,Mid-Value Growth,Low-CLV,Low Risk,2,Blatena Saving Account,0.07631
CIF01000007,Customer_8,Special Saving Account,Mid-Value Growth,Low-CLV,Low Risk,3,Werazut Saving Account,0.06932
CIF01000008,Customer_9,Special Saving Account,Dormant Risk,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.2305
CIF01000008,Customer_9,Special Saving Account,Dormant Risk,Low-CLV,Critical Risk,2,Blatena Saving Account,0.07858
CIF01000008,Customer_9,Special Saving Account,Dormant Risk,Low-CLV,Critical Risk,3,Werazut Saving Account,0.0709
CIF01000009,Customer_10,Sitota Saving Deposit,Low Engagement,High-CLV,Critical Risk,1,Ordinary Saving Account,0.2526
CIF01000009,Customer_10,Sitota Saving Deposit,Low Engagement,High-CLV,Critical Risk,2,Special Saving Account,0.10525
CIF01000009,Customer_10,Sitota Saving Deposit,Low Engagement,High-CLV,Critical Risk,3,Blatena Saving Account,0.07561
CIF01000010,Customer_11,Blatena Saving Account,High-CLV Active,High-CLV,Critical Risk,1,Ordinary Saving Account,0.25519
CIF01000010,Customer_11,Blatena Saving Account,High-CLV Active,High-CLV,Critical Risk,2,Special Saving Account,0.0994
CIF01000010,Customer_11,Blatena Saving Account,High-CLV Active,High-CLV,Critical Risk,3,Werazut Saving Account,0.06601
CIF01000011,Customer_12,Ordinary Saving Account,Mid-Value Growth,High-CLV,Critical Risk,1,Special Saving Account,0.10218
CIF01000011,Customer_12,Ordinary Saving Account,Mid-Value Growth,High-CLV,Critical Risk,2,Blatena Saving Account,0.07847
CIF01000011,Customer_12,Ordinary Saving Account,Mid-Value Growth,High-CLV,Critical Risk,3,Werazut Saving Account,0.0711
CIF01000012,Customer_13,Asrat Bekurat Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.25209
CIF01000012,Customer_13,Asrat Bekurat Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,2,Special Saving Account,0.10341
CIF01000012,Customer_13,Asrat Bekurat Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,3,Blatena Saving Account,0.07473
CIF01000013,Customer_14,Blatena Saving Account,Mid-Value Growth,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.24967
CIF01000013,Customer_14,Blatena Saving Account,Mid-Value Growth,Top-CLV,Critical Risk,2,Special Saving Account,0.10537
CIF01000013,Customer_14,Blatena Saving Account,Mid-Value Growth,Top-CLV,Critical Risk,3,Werazut Saving Account,0.0675
CIF01000014,Customer_15,Werazut Saving Account,Low Engagement,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.24267
CIF01000014,Customer_15,Werazut Saving Account,Low Engagement,Low-CLV,Critical Risk,2,Special Saving Account,0.10301
CIF01000014,Customer_15,Werazut Saving Account,Low Engagement,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07295
CIF01000015,Customer_16,Equb Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.2481
CIF01000015,Customer_16,Equb Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,2,Special Saving Account,0.10801
CIF01000015,Customer_16,Equb Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,3,Blatena Saving Account,0.07523
CIF01000016,Customer_17,Special Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.23928
CIF01000016,Customer_17,Special Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,2,Blatena Saving Account,0.07523
CIF01000016,Customer_17,Special Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,3,Werazut Saving Account,0.06831
CIF01000017,Customer_18,Dekemezmur Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.24872
CIF01000017,Customer_18,Dekemezmur Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,2,Special Saving Account,0.10533
CIF01000017,Customer_18,Dekemezmur Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,3,Blatena Saving Account,0.07971
CIF01000018,Customer_19,Couples Saving Deposit,Dormant Risk,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.23932
